# omega0=2, alpha=0.20
# theta0=-0.80, theta_dot0=0.12
# t_start=0.10, t_end=100.00, h=0.01
#   t          x(t)                 v(t)       
6.389849696521253e+01 -5.238061945660118e-02 -1.208861055536054e-01
6.401932745188907e+01 -6.683993488988856e-02 -1.183903111438450e-01
6.414015793856555e+01 -8.097829884064113e-02 -1.155804781765880e-01
6.426098842524203e+01 -9.476006889286079e-02 -1.124933370855914e-01
6.438181891191851e+01 -1.081535079928788e-01 -1.091565798891386e-01
6.450264939859500e+01 -1.211296262592576e-01 -1.055878797714078e-01
6.462347988527148e+01 -1.336609459723007e-01 -1.017946034063740e-01
6.474431037194796e+01 -1.457202738179426e-01 -9.777421495081681e-02
6.486514085862444e+01 -1.572795617763976e-01 -9.351532890165035e-02
6.498597134530092e+01 -1.683089305693068e-01 -8.899933181420190e-02
6.510680183197741e+01 -1.787759179896384e-01 -8.420246230321149e-02
6.522763231865389e+01 -1.886449996341521e-01 -7.909821630846244e-02
6.534846280533037e+01 -1.978774125811187e-01 -7.365993117559219e-02
6.546929329200685e+01 -2.064312945146251e-01 -6.786339790236624e-02
6.559012377868333e+01 -2.142621327885588e-01 -6.168935553485638e-02
6.571095426535982e+01 -2.213235009638358e-01 -5.512573422527289e-02
6.583178475203630e+01 -2.275680453160756e-01 -4.816953251087396e-02
6.595261523871278e+01 -2.329486713873417e-01 -4.082823827998474e-02
6.607344572538926e+01 -2.374198713241599e-01 -3.312072986600215e-02
6.619427621206574e+01 -2.409391267680991e-01 -2.507762199255377e-02
6.631510669874223e+01 -2.434683195043247e-01 -1.674104929247456e-02
6.643593718541871e+01 -2.449750828109719e-01 -8.163906525486805e-03
6.655676767209519e+01 -2.454340302321737e-01 5.914115567387865e-04
6.667759815877167e+01 -2.448278049664614e-01 9.454707147106684e-03
6.679842864544815e+01 -2.431479018070784e-01 1.835003253836445e-02
6.691925913212464e+01 -2.403952241501916e-01 2.719800558950108e-02
6.704008961880112e+01 -2.365803505510782e-01 3.591828400140073e-02
6.716092010547760e+01 -2.317234982061965e-01 4.443208904266847e-02
6.728175059215408e+01 -2.258541841161908e-01 5.266466730738422e-02
6.740258107883056e+01 -2.190105980744272e-01 6.054758097135789e-02
6.752341156550705e+01 -2.112387145386640e-01 6.802072305465577e-02
6.764424205218353e+01 -2.025911823643532e-01 7.503396460926315e-02
6.776507253886001e+01 -1.931260417703467e-01 8.154835564624910e-02
6.788590302553649e+01 -1.829053262328634e-01 8.753682089752560e-02
6.800673351221297e+01 -1.719936127531720e-01 9.298431475576471e-02
